links,summaries
https://vulcanpost.com//704549/website-apps-read-books-for-free/,"Curated collections of novella, including Singaporean Literature, Mysteries and more are also available.Libby is available for download on the Google Play and the App Store.The world’s first reader-powered publishing platform, Inkitt contains over 236,000 free-to-read stories written by 75,000 authors.
That includes novels like The Millenium Wolves, Just Juliet, Esper Files and Caged.Inkitt is available for download on the Google Play and the App Store.The sister app to Inkitt, Galatea publishes Inkitt originals as interactive, immersive short-form content.
Galatea is available for download on the Google Play and the App Store.The world’s largest repository of web novels, fan-fiction and Hollywood gems, Wattpad remains the world leader in free digital fiction with over 80 million readers worldwide.Stories from Wattpad have been adapted into movies, including the Kissing Booth and after on Netflix, and Light as a Feather on Hulu.
Wattpad is available for download on the Google Play and the App Store.The undisputed king of web comics, Webtoon last recorded over 50 million monthly users on its platform in 2018.
Our top titles on the app include Darbi, Sword Interval, My Giant Nerd Boyfriend and Space Boy. Webtoon is available for download on the Google Play and the App Store.While most books exist behind a paywall, many remain free-to-read on the Kindle store."
https://vulcanpost.com//704552/how-much-degree-renovate-house-singapore/,"It almost sounds formulaic but this has been the norm for many Singaporeans.While having a degree doesn’t necessarily mean job stability, it can help pave the way for a comfortable life.With Singapore’s strong focus on sophisticated skill sets to drive the economy, a degree may simply serve as an added protection against competition in an increasingly globalised world.In fact, according to data from SingStat, Singapore residents aged 25 years and above with a university education consists of 23.7 per cent of the entire local population in 2010, and that figure has increased to 31.6 per cent in 2018.If you are thinking of getting a degree, the estimated course fees at the local universities (both public and private institutions) range between S$24,600 and S$39,600 for Singaporeans if we look at the latest numbers from the 2020 intake.These are estimations based on three-year general courses, and exclude the more expensive courses like medicine, dentistry and music.If you are thinking of studying overseas however, the tuition fees are generally more costly and you will also have to consider accommodation and other living expenses.At this point, you may want to consider getting an Education Loan at a low interest rate of 4.5 per cent and with flexible repayment options, whether you would like to study at a local private institution or overseas institution.How much you would need to get a degree: At least S$25,000Instead of being a salaried employee, there are some Singaporeans who yearn to start their own business and be their own boss.The basics of starting a business is to first identify a consumer pain point before coming up with a product or service that helps to resolve it and meet their needs.Let’s say you are planning to set up an IT software startup.
Of course, you can choose to do away with some of these costs such as opting for remote working to save on office costs, or undertake some of the paperwork yourself to reduce expenses.This calculator from the Economic Development Board (EDB) is a helpful tool that lets you have a rough idea of what you need to consider before setting up your company.How much you would need to start a business: Up to S$252,000A wedding in Singapore typically costs somewhere between S$30,000 and S$50,000, though extravagant weddings can cost significantly more (i.e. more than S$100,000).The biggest components are the wedding banquet, bridal package and honeymoon.
It does not mean that you have a cash flow problem — in fact, it helps you to have better cash flow management so that you wouldn’t find your savings depleted suddenly.Many might not know this, but the cost of borrowing via a personal loan is lower than a credit card interest charge (typically 25 per cent per annum)."
https://vulcanpost.com//704416/smu-incubation-programme-startups-singapore/,"Business Innovations Generator (BIG) — the incubator managed by the Singapore Management University (SMU) — has unveiled 19 new startups accepted into the programme.
Their team of 30 spans across two cities in the region.Beauty Undercover matches discerning customers to quality salons by providing relevant information for them to make better salon decisions.
The startup is focused on focused on e-commerce livestreaming and e-commerce marketing.The team has an experience of more than 18 years in China, and is well-poised to help Singaporean brands with their e-commerce expansion plans in China.
Kalpha is a peer-to-peer mobile platform where individuals can discover, connect and meet up to learn and share any skills, knowledge and experiences on a one-to-one basis.The Kalpha team believes that everyone has something to share, and thus a lot of focus is placed on the quality of the sharing session, rather than the qualifications of the Sharer.
Mantheos provides data intelligence and lead generation services that supports its clients with targeted data aggregation, processing and delivery on demand.The startup helps businesses make data-driven decisions and prevents the proliferation of outdated and inaccurate data.ØRBIT-animal offers an innovative smart device that is able to detect vital health signals of animals by leveraging acoustic signals.
The startup was born from an identified gap in the watch industry — the lack of a product that sat perfectly in the overlap between design, quality and price.Twimbit aims to create exponential impact for every business and individual through the power of research.It is a tech-based knowledge firm which provides information and advisory to individuals and companies.
It is designed to help great workers shine and seen for their actual work contributions, and performance, throughout their career.Due to COVID-19, the entire incubation programme for the 19 startups will be conducted virtually, which is a first for BIG.The COVID-19 pandemic and global economic uncertainty have not stopped these startup founders from pursuing innovation and entrepreneurship."
https://vulcanpost.com//704440/sportslink-ordered-to-shut-down-singapore/,"The latter had owed Adidas Singapore S$1.3 million in overdue trade payables since April 2018.
The biggest creditor however, is a Malaysian sports vendor for Brooks products, who is owed S$1.2 million.
Sportslink first started out as Sports Interlink as a single store in Queensway Shopping Centre."
https://vulcanpost.com//701856/staffany-cico-app-singapore/,"Backed by NUS Enterprise, StaffAny specialises in enterprise software that helps businesses schedule staff, lets staff apply for leave easily, provides an on-site clock, smart timesheets and helps managers generate reports in real-time.Their clientele ranges from big chains such as Ippudo Ramen, Pezzo Group and Pandora to multi-outlet concepts such as Foreword Coffee and Tadcaster Hospitality, to fast-growing companies such as Wafuken and Populous Cafe.After COVID-19 struck Singapore, the entire nation had to go into a semi-lockdown and only essential services were allowed to continue their operations.Some of their clients brought up their pain points regarding the safe management measures.
“This came about through customer conversations, when we realised how worrying it is for business owners who are unsure if staff have clocked-in with SafeEntry and logged their temperatures,” said co-founder Eugene Ng.They then requested the StaffAny team to build a solution to alleviate their concerns.
The StaffAny team thought of a contactless way to allow employees to clock in and out, record their temperatures and make health declarations while minimising physical contact: a mobile app.The team spent about four weeks developing the app and pushed out an initial version about one and a half weeks after the SafeEntry requirements came into force.Called CICO (short for Clock-In, Clock-Out), the app combines elements of the StaffAny workforce management solution, which digitalises attendance process and other key information records for hourly workers into remotely accessible dashboards, with the government’s SafeEntry digital check-in system.The app automatically redirects users to the SafeEntry website to input the required contact tracing information and sends them reminder notifications if they have not done so.To support Singapore in its reopening, we have extended our offerings to include keying-in of temperatures and health declaration forms.For companies that have employees working from home, they also make use of the CICO app as a means to keep track of their employees’ working hours.
“Due to COVID-19, they wanted to switch to a contactless attendance system to minimise physical contact of their staff members,” said Eugene.“They then implemented CICO and switched out of biometric systems quickly so that they can eliminate the need for employees to touch common surfaces on punch-card machines and biometric systems.”Cedele, Ippudo Ramen, Pandora and other firms have also implemented the CICO app.
To resolve this, the team has been conducting group webinars on a weekly basis to educate them on how the app works — which could be easily set up within 20 minutes.StaffAny is currently working with GovTech to join the SafeEntry programme, and this partnership will hopefully help them develop deeper integrations of the CICO software.The pandemic serves as a catalyst for digital transformation for many SMEs, starting with small steps like adopting the use of workforce management solutions like CICO."
https://vulcanpost.com//703896/ge-2020-spores-electoral-campaign-guidelines-and-how-theyve-been-broken/,"Here is a quick reminder of what parties can and cannot do to get your vote— and a roundup of the times when candidates crossed the line during GE 2020.Politicians typically campaign by:Each candidate can open one election office per polling district within a radius of 200m from any polling station.Decorative items bearing plagues such as clothing, buttons, and umbrellas are not considered election advertising.Electoral ethics advises against:While it is unclear what words or actions constitute a violation of electoral ethics, several incidents held during GE 2020 may have flouted these guidelines.Raeesah Khan, the Workers Party (WP) candidate for Sengkang GRC submitted a public apology after two police reports were filed against her for inciting racial and religious discord in old Facebook posts.The People’s Action Party (PAP) has been reported on the same charges after it published a blog post calling for Raeesah’s candidature to be revoked.The report stated that the PAP had falsely accused her of making “highly derogatory statements about Chinese and Christians.”The Singapore Democratic Party (SDP) has also been issued a Corrections Notice for making false claims under the Protection from Online Falsehoods and Manipulation Act (POFMA).The order was issued after SDP accused the PAP of making plans to increase Singapore’s population to 10 million.The SDP maintains that its statements are credible and has announced that it will be applying for a cancellation of the Correction Order.On July 6, Prime Minister Lee Hsien Loong stated that opposition parties “have been completely silent on how to tackle Covid-19 during the last six months, and in this election campaign.”In response, several parties have countered with reiterations of the policies set forth to ameliorate medical and socio-economic problems created by Covid-19 stated in their manifestos.This selection of incidents number among the many which seem to have flouted ethical guidelines this electoral season.It remains unknown whether mechanisms to investigate unethical campaigning will be activated once Polling Day is over.Should:Should not:On 2 July, the People’s Solidarity Party (PSP) took down over 50 posters along Clementi West which infringed on public safety."
https://vulcanpost.com//704194/political-parties-stand-on-bread-and-butter-issues/,
https://vulcanpost.com//704331/campaigning-on-cooling-off-and-polling-day/,
https://vulcanpost.com//704306/grabdurian-is-back-2020-singapore/,"Here are the durian goodies you can expect from GrabFood this season, plus a taste profile guide on which durian type to get:Customers can pick from 5 varieties of durian flesh — D13, Red Prawn, Mao Shan Wang, D24, Empire King (Black Gold) — and get them delivered daily from 2PM.
Prices vary for different durian types, starting from $24.Besides Spike Empire, fruit stalls Heavenly Guo and 1321 Fruits are also offering the popular durian varieties from Mao Shan Wang to D24."
https://vulcanpost.com//704120/role-of-returning-officer-singapore/,"It’s the last day of campaigning before Singaporeans head to the ballot box.Since the news that the general election (GE) in Singapore will be held on July 10 this year, the island has been abuzz with politics.
Besides declaring the results for general elections and presidential elections, the RO is also in charge of overseeing the conduct of all parliamentary elections.
This includes directing thousands of election officials who run polling stations and count ballots."
